Local_Start_Date,Local_End_Date,Verses,Rank,Rank and Date
2024-01-08,2024-01-08,541,1,#1: 2024-01-08
2023-12-24,2023-12-24,383,2,#2: 2023-12-24
2023-11-19,2023-11-19,379,3,#3: 2023-11-19
2023-11-18,2023-11-18,369,4,#4: 2023-11-18
2024-01-02,2024-01-02,365,5,#5: 2024-01-02
2023-12-26,2023-12-26,357,6,#6: 2023-12-26
2024-01-03,2024-01-03,344,7,#7: 2024-01-03
2023-12-02,2023-12-02,310,8,#8: 2023-12-02
2023-12-17,2023-12-17,284,9,#9: 2023-12-17
2023-11-12,2023-11-12,261,10,#10: 2023-11-12
2023-10-29,2023-10-29,251,11,#11: 2023-10-29
2023-11-28,2023-11-28,244,12,#12: 2023-11-28
2023-12-10,2023-12-10,229,13,#13: 2023-12-10
2023-12-07,2023-12-07,203,14,#14: 2023-12-07
2023-11-05,2023-11-05,201,15,#15: 2023-11-05
2023-11-26,2023-11-26,195,16,#16: 2023-11-26
2023-12-21,2023-12-21,184,17,#17: 2023-12-21
2023-12-19,2023-12-19,179,18,#18: 2023-12-19
2023-12-01,2023-12-01,171,19,#19: 2023-12-01
2023-12-09,2023-12-09,146,20,#20: 2023-12-09
2023-11-20,2023-11-20,142,21,#21: 2023-11-20
2023-12-06,2023-12-06,139,22,#22: 2023-12-06
2023-11-29,2023-11-29,137,23,#23: 2023-11-29
2023-11-15,2023-11-15,130,24,#24: 2023-11-15
2023-12-04,2023-12-04,130,24,#24: 2023-12-04
2023-12-12,2023-12-12,113,26,#26: 2023-12-12
2023-11-21,2023-11-21,111,27,#27: 2023-11-21
2023-12-25,2023-12-25,106,28,#28: 2023-12-25
2023-11-16,2023-11-16,104,29,#29: 2023-11-16
2023-11-03,2023-11-03,103,30,#30: 2023-11-03
2023-11-17,2023-11-17,101,31,#31: 2023-11-17
2023-11-14,2023-11-14,92,32,#32: 2023-11-14
2023-11-25,2023-11-25,83,33,#33: 2023-11-25
2023-12-20,2023-12-20,78,34,#34: 2023-12-20
2023-11-11,2023-11-11,75,35,#35: 2023-11-11
2024-01-09,2024-01-09,70,36,#36: 2024-01-09
2023-12-23,2023-12-23,64,37,#37: 2023-12-23
2023-12-05,2023-12-05,64,37,#37: 2023-12-05
2023-12-29,2023-12-29,60,39,#39: 2023-12-29
2023-12-08,2023-12-08,54,40,#40: 2023-12-08
2023-11-06,2023-11-06,51,41,#41: 2023-11-06
2023-12-03,2023-12-03,51,41,#41: 2023-12-03
2023-10-31,2023-10-31,39,43,#43: 2023-10-31
2023-11-08,2023-11-08,29,44,#44: 2023-11-08
2023-11-04,2023-11-04,23,45,#45: 2023-11-04
2023-10-24,2023-10-24,21,46,#46: 2023-10-24
2023-12-14,2023-12-14,20,47,#47: 2023-12-14
2023-12-16,2023-12-16,17,48,#48: 2023-12-16
2023-11-30,2023-11-30,15,49,#49: 2023-11-30
2023-10-25,2023-10-25,12,50,#50: 2023-10-25
